Дата турнира: 2026-04-17T04:37:44.038Z
Оружия: 31

Без оружия vs Якорь возрождения -> respawnAnchor | HP 0:100 | Пики P:0 Z:5
Без оружия vs Жемчуг Края -> enderPearl | HP 0:91 | Пики P:1 Z:1
Без оружия vs Плачущий обсидиан -> cryingObsidian | HP 0:100 | Пики P:3 Z:0
Без оружия vs Огненный стержень -> blazeRod | HP 0:100 | Пики P:0 Z:0
Без оружия vs Гнилая плоть -> ничья | HP 0:0 | Пики P:0 Z:0 | Ошибки:1
  БАГ: АВАРИЯ: game.spawnMinion is not a function
Без оружия vs Светильник Джека -> jackOLantern | HP 0:89 | Пики P:0 Z:0
Без оружия vs Костная мука -> pacifist | HP 16:0 | Пики P:0 Z:0
Без оружия vs Книга с пером -> bookQuill | HP 0:100 | Пики P:0 Z:2
Без оружия vs Элитры -> elytra | HP 0:100 | Пики P:0 Z:0
Без оружия vs Золотое яблоко -> goldenApple | HP 0:63 | Пики P:0 Z:0
Без оружия vs Невидимость -> invisPotion | HP 0:65 | Пики P:0 Z:0
Без оружия vs Зелье гравитации -> gravityPotion | HP 0:98 | Пики P:0 Z:2
Без оружия vs Черепашье зелье -> turtlePotion | HP 0:100 | Пики P:0 Z:0
Удочка vs Рельсы -> fishingRod | HP 53:0 | Пики P:1 Z:0
Удочка vs Лодка -> boat | HP 0:36 | Пики P:2 Z:2
Удочка vs Без оружия -> fishingRod | HP 100:0 | Пики P:1 Z:0
Удочка vs Трезубец Лояльности -> loyaltyTrident | HP 0:16 | Пики P:2 Z:0
Удочка vs Ведро воды -> waterBucket | HP 0:44 | Пики P:1 Z:2
Удочка vs Ведро лавы -> lavaBucket | HP 0:32 | Пики P:1 Z:1
Удочка vs Снежки -> snowball | HP 0:64 | Пики P:4 Z:2
Удочка vs Огниво -> flintSteel | HP 0:36 | Пики P:1 Z:13
Удочка vs Пузырёк опыта -> expBottle | HP 0:46 | Пики P:2 Z:0
Удочка vs Тотем -> totem | HP 0:18 | Пики P:1 Z:1
Удочка vs Вагонетка с воронкой -> hopperMinecart | HP 0:71 | Пики P:1 Z:0
Удочка vs ТНТ -> tnt | HP 0:44 | Пики P:1 Z:0
Удочка vs Слизневый поршень -> slimePiston | HP 0:22 | Пики P:1 Z:1
Удочка vs Наблюдатель -> observer | HP 0:88 | Пики P:1 Z:1
Удочка vs Улей -> beehive | HP 0:39 | Пики P:1 Z:3
Удочка vs Нотный блок -> noteBlock | HP 0:65 | Пики P:1 Z:0
Удочка vs Шалкеровый ящик -> fishingRod | HP 39:0 | Пики P:1 Z:0
Удочка vs Якорь возрождения -> respawnAnchor | HP 0:50 | Пики P:1 Z:7
Удочка vs Жемчуг Края -> enderPearl | HP 0:40 | Пики P:2 Z:1
Удочка vs Плачущий обсидиан -> cryingObsidian | HP 0:40 | Пики P:4 Z:0
Удочка vs Огненный стержень -> blazeRod | HP 0:42 | Пики P:1 Z:0
Удочка vs Гнилая плоть -> ничья | HP 0:0 | Пики P:0 Z:0 | Ошибки:1
  БАГ: АВАРИЯ: game.spawnMinion is not a function
Удочка vs Светильник Джека -> fishingRod | HP 11:0 | Пики P:1 Z:0
Удочка vs Костная мука -> fishingRod | HP 100:0 | Пики P:1 Z:0
Удочка vs Книга с пером -> bookQuill | HP 0:1 | Пики P:1 Z:2
Удочка vs Элитры -> fishingRod | HP 58:0 | Пики P:1 Z:0
Удочка vs Золотое яблоко -> goldenApple | HP 0:63 | Пики P:1 Z:0
Удочка vs Невидимость -> fishingRod | HP 58:0 | Пики P:1 Z:0
Удочка vs Зелье гравитации -> gravityPotion | HP 0:34 | Пики P:1 Z:2
Удочка vs Черепашье зелье -> turtlePotion | HP 0:100 | Пики P:1 Z:0
Трезубец Лояльности vs Рельсы -> loyaltyTrident | HP 54:0 | Пики P:1 Z:0
Трезубец Лояльности vs Лодка -> boat | HP 0:100 | Пики P:2 Z:2
Трезубец Лояльности vs Без оружия -> loyaltyTrident | HP 100:0 | Пики P:1 Z:0
Трезубец Лояльности vs Удочка -> loyaltyTrident | HP 13:0 | Пики P:2 Z:0
Трезубец Лояльности vs Ведро воды -> loyaltyTrident | HP 28:0 | Пики P:1 Z:2
Трезубец Лояльности vs Ведро лавы -> loyaltyTrident | HP 7:0 | Пики P:1 Z:1
Трезубец Лояльности vs Снежки -> loyaltyTrident | HP 8:0 | Пики P:4 Z:3
